Source,Target
N,C
C,F
F,G
G,C:maj6
C:maj6,F
F,G
G,C:maj6
C:maj6,A:min
A:min,E:min
E:min,F:maj7
F:maj7,E:min
E:min,D:min
D:min,G
G,C:maj6
C:maj6,F
F,G
G,C:maj6
C:maj6,F
F,G
G,C:maj6
C:maj6,A:min
A:min,E:min
E:min,F:maj7
F:maj7,E:min
E:min,F
F,G
G,C:maj6
C:maj6,C
C,E
E,A
A,D:min
D:min,F
F,C
C,C
C,E
E,A
A,D:min
D:min,F
F,C
C,F
F,G
G,C:maj6
C:maj6,F
F,G
G,C:maj6
C:maj6,A:min
A:min,E:min
E:min,F:maj7
F:maj7,E:min
E:min,F
F,G
G,C:maj6
C:maj6,A:min
A:min,E:min
E:min,F:maj7
F:maj7,C:maj9
C:maj9,N
N,N
N,D
D,A:min7
A:min7,D
D,A:min7
A:min7,D
D,A:min
A:min,F
F,D
D,G
G,D
D,F
F,G
G,G
G,D
D,F
F,G
G,G
G,D
D,F
F,G
G,G
G,D
D,F
F,G
G,A:min7
A:min7,D
D,A:min7
A:min7,D
D,G
G,E:min
E:min,A:min
A:min,F
F,D
D,G
G,D
D,F
F,G
G,G
G,D
D,F
F,G
G,G
G,D
D,F
F,G
G,G
G,D
D,F
F,G
G,A:min7
A:min7,D
D,A:min7
A:min7,D
D,G
G,E:min
E:min,A:min
A:min,F
F,D
D,G
G,D
D,F
F,G
G,G
G,D
D,F
F,G
G,A:min
A:min,D
D,A:min
A:min,D
D,G
G,E:min
E:min,A:min
A:min,F
F,D:7
D:7,G
G,D
D,F
F,G
G,G
G,D
D,F
F,G
G,G
G,D
D,F
F,G
G,G
G,D
D,F
F,G
G,A:min7
A:min7,D
D,A:min7
A:min7,D
D,G
G,E:min
E:min,A:min
A:min,F
F,D
D,G
G,D
D,F
F,G
G,G
G,D
D,F
F,G
G,A:min
A:min,D:maj6
D:maj6,A:min
A:min,D:maj6
D:maj6,G
G,E:min
E:min,N
N,N
N,A
A,E
E,A
A,A
A,E
E,D:7
D:7,E
E,A
A,D
D,A
A,E
E,A
A,A
A,A
A,A:7/3
A:7/3,D
D,D
D,A
A,E
E,A
A,A
A,E
E,D:7
D:7,E
E,A
A,D
D,A
A,A
A,A
A,A
A,A:7/3
A:7/3,D
D,D
D,A
A,E
E,A
A,F#:min7
F#:min7,B
B,D
D,E
E,A
A,E
E,D:7
D:7,E
E,A
A,D
D,A
A,A
A,E
E,D:7
D:7,E
E,A
A,D
D,A
A,F#:min7
F#:min7,B
B,D
D,E
E,A
A,E
E,D:7
D:7,E
E,A
A,D
D,A
A,A
A,A
A,A
A,A:7
A:7,D
D,D
D,A
A,E
E,A
A,A
A,E
E,D:7
D:7,E
E,A
A,D
D,A
A,A
A,N
N,N
N,E:7
E:7,A
A,D
D,A
A,E
E,A
A,E
E,A
A,E
E,A
A,D
D,E
E,E
E,A
A,D
D,A
A,E
E,A
A,E
E,A
A,E
E,A
A,D
D,E
E,A
A,D
D,A
A,E
E,A
A,E
E,A
A,E
E,A
A,D
D,E
E,A
A,D
D,A
A,E
E,A
A,E
E,A
A,E
E,A
A,D
D,E
E,E:7
E:7,A
A,D
D,A
A,E
E,A
A,E
E,A
A,N
N,N
N,C
C,G
G,F
F,C
C,G
G,F:7
F:7,C
C,D
D,C
C,E:min/5
E:min/5,D
D,G
G,C
C,G
G,F
F,C
C,G
G,F:7
F:7,C
C,D
D,C
C,E:min/5
E:min/5,D
D,G
G,C
C,C:7
C:7,D:min
D:min,F:min
F:min,C
C,C:7
C:7,D:min
D:min,F:min
F:min,C
C,D:min
D:min,G
G,F:7
F:7,C
C,D
D,C
C,E:min/5
E:min/5,D
D,G
G,C
C,G
G,F
F,C
C,G
G,F:7
F:7,C
C,D
D,C
C,E:min/5
E:min/5,D
D,G
G,C
C,C:7
C:7,D:min
D:min,F:min
F:min,C
C,C:7
C:7,D:min
D:min,F:min
F:min,C
C,D:min
D:min,G
G,F:7
F:7,C
C,D
D,C
C,E:min/5
E:min/5,D
D,G
G,C
C,G
G,F
F,C
C,N
N,N
N,F#
F#,F#
F#,F#:sus4
F#:sus4,F#
F#,F#:sus4
F#:sus4,F#
F#,F#:sus4
F#:sus4,F#
F#,F#:sus4
F#:sus4,F#
F#,F#:sus4
F#:sus4,F#
F#,F#
F#,B
B,F#
F#,F#:sus4
F#:sus4,F#
F#,F#:sus4
F#:sus4,D#:min
D#:min,B
B,F#
F#,F#:sus4
F#:sus4,F#
F#,B
B,F#
F#,D#:7
D#:7,G#
G#,C#:7
C#:7,F#
F#,F#:sus4
F#:sus4,F#
F#,F#:sus4
F#:sus4,F#
F#,F#:sus4
F#:sus4,F#
F#,F#:sus4
F#:sus4,F#
F#,F#:sus4
F#:sus4,F#
F#,F#:sus4
F#:sus4,F#
F#,F#:sus4
F#:sus4,F#
F#,F#:sus4
F#:sus4,F#
F#,F#:sus4
F#:sus4,F#
F#,B
B,F#
F#,D#:7
D#:7,G#
G#,C#:7
C#:7,F#
F#,F#:sus4
F#:sus4,F#
F#,F#:sus4
F#:sus4,F#
F#,B
B,B
B,F#
F#,D#:7
D#:7,G#
G#,C#:7
C#:7,F#
F#,F#:sus4
F#:sus4,F#
F#,F#:sus4
F#:sus4,F#
F#,F#:sus4
F#:sus4,F#
F#,F#:sus4
F#:sus4,F#
F#,F#:sus4
F#:sus4,F#
F#,F#:sus4
