Source,Target
N,A:7
A:7,D:7
D:7,A:7
A:7,E:7
E:7,A:7
A:7,A:7
A:7,D:7
D:7,A:7
A:7,E:7
E:7,A:7
A:7,N
N,E
E,C
C,G:7
G:7,C
C,G:7
G:7,C
C,G:7
G:7,C
C,G:7
G:7,G:7/b2
G:7/b2,G:7/2
G:7/2,G:7/b3
G:7/b3,E/5
E/5,E
E,A:7
A:7,D:7
D:7,A:7
A:7,E:7
E:7,A:7
A:7,A
A,G:(1)
G:(1),A
A,G:(1)
G:(1),C
C,G:7
G:7,C
C,G:7
G:7,C
C,G:7
G:7,C
C,C/5
C/5,G:7/b2
G:7/b2,G:7/2
G:7/2,G:7/b3
G:7/b3,E/5
E/5,E
E,A:7
A:7,D:7
D:7,A:7
A:7,E:7
E:7,A:7
A:7,A
A,N
N,N
N,E
E,A
A,E
E,G
G,B
B,E
E,E/3
E/3,A
A,E/5
E/5,B
B,E
E,A
A,E
E,G
G,B
B,E
E,E/3
E/3,A
A,E/5
E/5,B
B,E
E,B:7
B:7,E
E,B:7
B:7,E
E,A
A,E
E,G
G,B
B,E
E,E/3
E/3,A
A,E/5
E/5,B
B,E
E,B:7
B:7,E
E,B:7
B:7,E
E,A
A,E
E,G
G,B
B,E
E,E/3
E/3,A
A,E/5
E/5,B
B,E
E,B:7
B:7,E
E,B:7
B:7,E
E,A
A,E
E,G
G,B
B,E
E,B
B,E
E,A
A,E
E,G
G,B
B,E
E,B
B,E
E,A
A,E
E,G
G,B
B,E
E,A
A,E
E,G
G,B
B,E
E,E/3
E/3,A
A,E/5
E/5,B
B,E
E,N
N,N
N,B:min
B:min,D/5
D/5,G#:hdim7
G#:hdim7,E:9
E:9,D
D,D:sus4
D:sus4,D:maj(9)
D:maj(9),D
D,D
D,G/5
G/5,D
D,B:min
B:min,D/5
D/5,G#:hdim7
G#:hdim7,E:9
E:9,A
A,D/5
D/5,A
A,D/5
D/5,A
A,D/5
D/5,A
A,D/5
D/5,D
D,F/6
F/6,G/5
G/5,D
D,D
D,F/6
F/6,G/5
G/5,D
D,D
D,G/5
G/5,D
D,B:min
B:min,D/5
D/5,G#:hdim7
G#:hdim7,E:9
E:9,A
A,D/5
D/5,A
A,D/5
D/5,A
A,D/5
D/5,A
A,D/5
D/5,D
D,F/6
F/6,G/5
G/5,D
D,D
D,D:sus4(2)
D:sus4(2),G/5
G/5,D
D,D
D,D:sus4(2)
D:sus4(2),G/5
G/5,D
D,D:maj7
D:maj7,D:7
D:7,G/5
G/5,G:min/5
G:min/5,D
D,D
D,G/5
G/5,D
D,B:min
B:min,D/5
D/5,G#:hdim7
G#:hdim7,E:9
E:9,A
A,D/5
D/5,A
A,D/5
D/5,A
A,D/5
D/5,A
A,D/5
D/5,D
D,F/6
F/6,G/5
G/5,D
D,D
D,D:sus4(2)
D:sus4(2),G/5
G/5,D
D,D
D,D:sus4(2)
D:sus4(2),G/5
G/5,D
D,D:maj7
D:maj7,D:7
D:7,G/5
G/5,G:min/5
G:min/5,D
D,D
D,G/5
G/5,D
D,B:min
B:min,D/5
D/5,G#:hdim7
G#:hdim7,E:9
E:9,A
A,D/5
D/5,A
A,D/5
D/5,A
A,D/5
D/5,A
A,D/5
D/5,D
D,F/6
F/6,G/5
G/5,D
D,D
D,F/6
F/6,G/5
G/5,D:7
D:7,N
N,N
N,E
E,A/3
A/3,A:maj(*5)
A:maj(*5),N
N,E
E,A/3
A/3,A:maj(*5)
A:maj(*5),N
N,E
E,A/3
A/3,A:maj(*5)
A:maj(*5),N
N,E
E,A/3
A/3,A:maj(*5)
A:maj(*5),N
N,E
E,A
A,E
E,A
A,E
E,A
A,E
E,A
A,E
E,A
A,E
E,A
A,A
A,D
D,B
B,E
E,D
D,G
G,N
N,E
E,G
G,D
D,E
E,A
A,E
E,A
A,E
E,A
A,E
E,A
A,E
E,A
A,E
E,A
A,E
E,A
A,E
E,A
A,E
E,A
A,E
E,A
A,A
A,D
D,B
B,E
E,D
D,G:maj6
G:maj6,N
N,E
E,G
G,D:maj6
D:maj6,N
N,E
E,A
A,E
E,A
A,E
E,A
A,E
E,A
A,E
E,A
A,E
E,A
A,E
E,A
A,E
E,A
A,E
E,A
A,E
E,A
A,A
A,D
D,B
B,E
E,D
D,G:maj6
G:maj6,N
N,E
E,G
G,D:maj6
D:maj6,E:(1)
E:(1),N
N,E
E,D
D,E
E,A
A,E
E,A
A,E
E,A
A,E
E,A
A,E
E,A
A,E
E,A
A,N
N,D
D,C
C,D
D,G
G,F#
F#,F
F,D
D,G
G,F#
F#,B:min
B:min,C
C,D
D,G
G,F#
F#,C
C,D
D,G
G,F#
F#,F
F,D
D,G
G,F#
F#,B:min
B:min,B:min7
B:min7,C
C,D
D,G
G,F#
F#,C
C,D
D,G
G,F#
F#,F
F,D
D,G
G,A:min
A:min,B:min
B:min,C
C,G
G,A:min
A:min,B:min
B:min,C
C,A
A,Ab
Ab,G
G,F#
F#,B:min
B:min,C
C,D
D,G
G,F#
F#,C
C,D
D,G
G,F#
F#,F
F,D
D,G
G,F#
F#,B:min
B:min,C
C,D
D,G
G,F#
F#,C
C,D
D,G
G,F#
F#,F
F,D
D,G
G,A:min
A:min,B:min
B:min,C
C,G
G,A:min
A:min,B:min
B:min,C
C,A
A,Ab
Ab,G
G,F#
F#,B:min
B:min,C
C,D
D,G
G,F#
F#,C
C,D
D,G
G,F#
F#,F
F,D
D,G
G,F#
F#,B:min
B:min,C
C,D
D,G
G,F#
F#,C
C,D
D,G
G,F#
F#,F
F,D
D,G
G,F#
F#,B:min
B:min,C
C,D
D,G
G,F#
F#,C
C,D
D,G
G,N
N,N
N,"E:(1,5)"
"E:(1,5)","E:(1,b7)/b7"
"E:(1,b7)/b7","C#:(1,b3)"
"C#:(1,b3)",C
C,G
G,E
E,E
E,G
G,A
A,E
E,A
A,E
E,A
A,E
E,E
E,G
G,A
A,E
E,A
A,E
E,A
A,E
E,E
E,A
A,E
E,A
A,E
E,E
E,"C#:(1,b3)/b3"
"C#:(1,b3)/b3",C/3
C/3,G
G,E
E,G
G,A
A,E
E,A
A,E
E,A
A,E
E,E
E,N
N,E:9
E:9,E
E,N
N,E
E,N
N,N
N,G:min
G:min,"G:(1,b3,4)/b3"
"G:(1,b3,4)/b3",G:min
G:min,F
F,C
C,Bb
Bb,A:min
A:min,G:min
G:min,C:9(*3)
C:9(*3),F
F,Bb
Bb,F
F,C
C,C/5
C/5,G:min
G:min,G:min/5
G:min/5,F
F,C
C,G:min
G:min,G:min/5
G:min/5,F
F,C
C,C:7
C:7,Bb
Bb,A:min
A:min,G:min(4)
G:min(4),F
F,Bb
Bb,F
F,C
C,C/5
C/5,G:min
G:min,G:min/5
G:min/5,F
F,C
C,G:min
G:min,G:min/5
G:min/5,F
F,C
C,Bb
Bb,F
F,C
C,G:min
G:min,Bb
Bb,F
F,C
C,G:min
G:min,Bb
Bb,C
C,Bb
Bb,A:min
A:min,G:min
G:min,F
F,Bb
Bb,F
F,C
C,G:min
G:min,G:min/5
G:min/5,F
F,C
C,G:min
G:min,G:min/5
G:min/5,F
F,C
C,G:min
G:min,G:min/5
G:min/5,F
F,C
C,G:min
G:min,G:min/5
G:min/5,F
F,C
C,G:min
G:min,G:min/5
G:min/5,F
F,C
C,C:(1)
C:(1),"C:(1,5)"
"C:(1,5)",C:sus4
C:sus4,N
N,N
N,A
A,N
N,A
A,E:7
E:7,A
A,D
D,A
A,A
A,D
D,E
E,B:min
B:min,E
E,B:min
B:min,G
G,A
A,F#
F#,E
E,A
A,D
D,A
A,D
D,A
A,D
D,E
E,A
A,D/5
D/5,A
A,A
A,D/5
D/5,E
E,B:min
B:min,E
E,B:min
B:min,G
G,A
A,F#
F#,E
E,A
A,D
D,A
A,D
D,A
A,D
