Id,Onset,Offset
N,0.0,1.834399
A:7,1.834399,8.568185
D:7,8.568185,11.993129
A:7,11.993129,15.441292
E:7,15.441292,18.889455
A:7,18.889455,22.326009
A:7,22.326009,29.175895
D:7,29.175895,32.624058
A:7,32.624058,36.049002
E:7,36.049002,39.531995
A:7,39.531995,43.369339
N,43.369339,56.668321
E,56.668321,70.519024
C,70.519024,72.272131
G:7,72.272131,74.025238
C,74.025238,75.720294
G:7,75.720294,77.519841
C,77.519841,79.249727
G:7,79.249727,81.014444
C,81.014444,82.732721
G:7,82.732721,83.177223
G:7/b2,83.177223,83.626689
G:7/2,83.626689,84.058013
G:7/b3,84.058013,84.485827
E/5,84.485827,86.296984
E,86.296984,87.95721
A:7,87.95721,94.911587
D:7,94.911587,98.39458
A:7,98.39458,101.865963
E:7,101.865963,105.302517
A:7,105.302517,108.72746
A,108.72746,111.328095
G:(1),111.328095,112.256893
A,112.256893,114.811088
G:(1),114.811088,115.658616
C,115.658616,117.353673
G:7,117.353673,119.04873
C,119.04873,120.801836
G:7,120.801836,122.554943
C,122.554943,124.273219
G:7,124.273219,126.014716
C,126.014716,127.767823
C/5,127.767823,128.193257
G:7/b2,128.193257,128.614504
G:7/2,128.614504,129.016604
G:7/b3,129.016604,129.462879
E/5,129.462879,131.169546
E,131.169546,132.852993
A:7,132.852993,139.818979
D:7,139.818979,143.336802
A:7,143.336802,146.761746
E:7,146.761746,150.175079
A:7,150.175079,155.095651
A,155.095651,162.678105
N,162.678105,162.925714
N,0.0,3.389127
E,3.389127,12.637423
A,12.637423,17.275668
E,17.275668,22.035759
G,22.035759,24.357755
B,24.357755,27.610855
E,27.610855,28.395907
E/3,28.395907,28.817155
A,28.817155,30.035034
E/5,30.035034,31.172811
B,31.172811,32.322199
E,32.322199,41.761111
A,41.761111,46.428321
E,46.428321,51.200022
G,51.200022,53.580068
B,53.580068,56.923741
E,56.923741,57.69
E/3,57.69,58.131179
A,58.131179,59.327006
E/5,59.327006,60.511224
B,60.511224,61.683832
E,61.683832,63.474331
B:7,63.474331,64.110317
E,64.110317,65.956303
B:7,65.956303,66.525192
E,66.525192,71.056785
A,71.056785,75.755124
E,75.755124,80.538435
G,80.538435,82.90687
B,82.90687,86.192494
E,86.192494,87.005192
E/3,87.005192,87.457981
A,87.457981,88.618979
E/5,88.618979,89.791587
B,89.791587,90.917755
E,90.917755,92.808471
B:7,92.808471,93.33263
E,93.33263,95.190226
B:7,95.190226,95.759115
E,95.759115,100.530816
A,100.530816,105.105147
E,105.105147,109.807188
G,109.807188,112.164013
B,112.164013,115.391587
E,115.391587,116.157845
E/3,116.157845,116.575804
A,116.575804,117.760022
E/5,117.760022,118.8978
B,118.8978,120.105238
E,120.105238,121.997664
B:7,121.997664,122.566553
E,122.566553,124.389319
B:7,124.389319,125.004648
E,125.004648,129.776349
A,129.776349,134.26941
E,134.26941,138.855351
G,138.855351,141.130907
B,141.130907,143.429682
E,143.429682,145.693628
B,145.693628,147.945963
E,147.945963,156.734716
A,156.734716,161.158117
E,161.158117,165.558299
G,165.558299,167.764195
B,167.764195,170.01653
E,170.01653,172.257256
B,172.257256,174.439931
E,174.439931,183.356394
A,183.356394,187.744965
E,187.744965,192.226417
G,192.226417,194.467142
B,194.467142,196.777528
E,196.777528,207.377437
A,207.377437,212.079478
E,212.079478,216.804739
G,216.804739,219.126734
B,219.126734,222.399504
E,222.399504,223.107966
E/3,223.107966,223.538526
A,223.538526,224.722743
E/5,224.722743,225.895351
B,225.895351,226.986689
E,226.986689,238.809007
N,238.809007,241.110204
N,0.0,0.363805
B:min,0.363805,2.16368
D/5,2.16368,4.001851
G#:hdim7,4.001851,5.935759
E:9,5.935759,8.424949
D,8.424949,9.828412
D:sus4,9.828412,11.279659
D:maj(9),11.279659,12.707687
D,12.707687,19.708503
D,19.708503,21.15975
G/5,21.15975,24.062244
D,24.062244,25.501882
B:min,25.501882,26.895079
D/5,26.895079,28.381156
G#:hdim7,28.381156,29.785963
E:9,29.785963,31.23721
A,31.23721,31.898979
D/5,31.898979,32.630408
A,32.630408,33.338616
D/5,33.338616,34.035215
A,34.035215,34.743424
D/5,34.743424,35.463242
A,35.463242,36.206281
D/5,36.206281,36.914489
D,36.914489,38.330907
F/6,38.330907,39.758934
G/5,39.758934,41.117301
D,41.117301,42.580158
D,42.580158,43.938526
F/6,43.938526,45.378163
G/5,45.378163,46.74814
D,46.74814,48.141337
D,48.141337,49.615804
G/5,49.615804,52.437029
D,52.437029,53.818616
B:min,53.818616,55.246643
D/5,55.246643,56.639841
G#:hdim7,56.639841,58.056258
E:9,58.056258,59.472675
A,59.472675,60.180884
D/5,60.180884,60.900702
A,60.900702,61.608911
D/5,61.608911,62.31712
A,62.31712,63.071768
D/5,63.071768,63.733537
A,63.733537,64.395306
D/5,64.395306,65.173174
D,65.173174,66.612811
F/6,66.612811,68.006009
G/5,68.006009,69.341156
D,69.341156,70.804013
D,70.804013,72.32492
D:sus4(2),72.32492,73.648458
G/5,73.648458,75.030045
D,75.030045,76.469682
D,76.469682,77.886099
D:sus4(2),77.886099,79.279297
G/5,79.279297,80.695714
D,80.695714,82.100521
D:maj7,82.100521,83.505328
D:7,83.505328,86.291723
G/5,86.291723,87.68492
G:min/5,87.68492,89.043287
D,89.043287,91.934172
D,91.934172,93.397029
G/5,93.397029,96.218253
D,96.218253,97.704331
B:min,97.704331,99.143968
D/5,99.143968,100.583605
G#:hdim7,100.583605,101.941972
E:9,101.941972,103.381609
A,103.381609,104.124648
D/5,104.124648,104.798027
A,104.798027,105.517845
D/5,105.517845,106.179614
A,106.179614,106.899433
D/5,106.899433,107.572811
A,107.572811,108.31585
D/5,108.31585,108.977619
D,108.977619,110.405646
F/6,110.405646,111.787233
G/5,111.787233,113.18043
D,113.18043,114.631678
D,114.631678,116.036485
D:sus4(2),116.036485,117.464512
G/5,117.464512,118.880929
D,118.880929,120.285736
D,120.285736,121.702154
D:sus4(2),121.702154,123.060521
G/5,123.060521,124.523378
D,124.523378,125.928185
D:maj7,125.928185,127.321383
D:7,127.321383,130.142607
G/5,130.142607,131.570634
G:min/5,131.570634,132.963832
D,132.963832,135.796666
D,135.796666,137.201473
G/5,137.201473,140.045918
D,140.045918,141.508775
B:min,141.508775,142.925192
D/5,142.925192,144.28356
G#:hdim7,144.28356,145.699977
E:9,145.699977,147.104784
A,147.104784,147.824603
D/5,147.824603,148.556031
A,148.556031,149.26424
D/5,149.26424,149.949229
A,149.949229,150.669047
D/5,150.669047,151.365646
A,151.365646,152.108684
D/5,152.108684,152.782063
D,152.782063,154.2217
F/6,154.2217,155.580068
G/5,155.580068,156.973265
D,156.973265,158.389682
D,158.389682,159.806099
F/6,159.806099,161.245736
G/5,161.245736,162.627324
D:7,162.627324,166.718251
N,166.718251,168.045714
N,0.0,0.628039
E,0.628039,1.06458
A/3,1.06458,1.575419
A:maj(*5),1.575419,2.121088
N,2.121088,2.597097
E,2.597097,3.107936
A/3,3.107936,3.641995
A:maj(*5),3.641995,4.106394
N,4.106394,4.594013
E,4.594013,5.139682
A/3,5.139682,5.638911
A:maj(*5),5.638911,6.10331
N,6.10331,6.602539
E,6.602539,7.124988
A/3,7.124988,7.635827
A:maj(*5),7.635827,8.088616
N,8.088616,8.413696
E,8.413696,9.156734
A,9.156734,10.329342
E,10.329342,11.072593
A,11.072593,12.303038
E,12.303038,13.057687
A,13.057687,14.334784
E,14.334784,15.101043
A,15.101043,16.3317
E,16.3317,17.13453
A,17.13453,18.293786
E,18.293786,19.127869
A,19.127869,20.302312
A,20.302312,24.425238
D,24.425238,28.575754
B,28.575754,32.724988
E,32.724988,33.479637
D,33.479637,34.292335
G,34.292335,35.710295
N,35.710295,36.370521
E,36.370521,37.171609
G,37.171609,37.891428
D,37.891428,40.074104
E,40.074104,41.336219
A,41.336219,42.08263
E,42.08263,43.313287
A,43.313287,44.102766
E,44.102766,45.379863
A,45.379863,46.134512
E,46.134512,47.4
A,47.4,48.154648
E,48.154648,48.909297
A,48.909297,50.151564
E,50.151564,50.964263
A,50.964263,52.1717
E,52.1717,53.077278
A,53.077278,54.168616
E,54.168616,54.911655
A,54.911655,56.165532
E,56.165532,56.966621
A,56.966621,58.220498
E,58.220498,58.998367
A,58.998367,60.217414
A,60.217414,64.327346
D,64.327346,68.469854
B,68.469854,72.61687
E,72.61687,73.394739
D,73.394739,74.172607
G:maj6,74.172607,75.809666
N,75.809666,76.250793
E,76.250793,76.993832
G,76.993832,77.73687
D:maj6,77.73687,79.46863
N,79.46863,79.884716
E,79.884716,81.115374
A,81.115374,81.939682
E,81.939682,83.18195
A,83.18195,83.948208
E,83.948208,85.167256
A,85.167256,85.956734
E,85.956734,87.152562
A,87.152562,87.94204
E,87.94204,88.685079
A,88.685079,89.985396
E,89.985396,90.740045
A,90.740045,91.982312
E,91.982312,92.760181
A,92.760181,93.956009
E,93.956009,94.757097
A,94.757097,95.999365
E,95.999365,96.788843
A,96.788843,98.019501
E,98.019501,98.820589
A,98.820589,100.051247
A,100.051247,104.213439
D,104.213439,108.350301
B,108.350301,112.462312
E,112.462312,113.251791
D,113.251791,114.029659
G:maj6,114.029659,115.4218
N,115.4218,116.107845
E,116.107845,116.908934
G,116.908934,117.605532
D:maj6,117.605532,119.730158
E:(1),119.730158,120.399875
N,120.399875,123.832817
E,123.832817,125.871836
D,125.871836,131.983665
E,131.983665,132.673787
A,132.673787,133.977004
E,133.977004,134.673308
A,134.673308,136.120527
E,136.120527,136.72126
A,136.72126,137.911383
E,137.911383,138.654421
A,138.654421,139.885079
E,139.885079,140.662947
A,140.662947,141.916825
E,141.916825,142.671473
A,142.671473,143.910083
N,143.910083,144.822857
D,0.0,0.98079
C,0.98079,2.414897
D,2.414897,3.900975
G,3.900975,5.421882
F#,5.421882,6.942789
F,6.942789,8.533356
D,8.533356,9.996213
G,9.996213,11.54034
F#,11.54034,13.107687
B:min,13.107687,16.2656
C,16.2656,17.786507
D,17.786507,19.365464
G,19.365464,20.944421
F#,20.944421,22.500158
C,22.500158,24.090725
D,24.090725,25.646462
G,25.646462,27.248639
F#,27.248639,28.839206
F,28.839206,30.406553
D,30.406553,32.02034
G,32.02034,33.587687
F#,33.587687,35.155034
B:min,35.155034,36.75721
B:min7,36.75721,38.370997
C,38.370997,39.961564
D,39.961564,41.552131
G,41.552131,43.142698
F#,43.142698,44.779705
C,44.779705,46.300612
D,46.300612,47.891179
G,47.891179,49.516575
F#,49.516575,51.072312
F,51.072312,52.674489
D,52.674489,54.230226
G,54.230226,55.820793
A:min,55.820793,57.42297
B:min,57.42297,58.990317
C,58.990317,60.557664
G,60.557664,62.136621
A:min,62.136621,63.680748
B:min,63.680748,65.248095
C,65.248095,66.838662
A,66.838662,68.406009
Ab,68.406009,69.926916
G,69.926916,71.471043
F#,71.471043,73.05
B:min,73.05,76.231133
C,76.231133,77.83331
D,77.83331,79.389047
G,79.389047,81.049274
F#,81.049274,82.581791
C,82.581791,84.183968
D,84.183968,85.751315
G,85.751315,87.365102
F#,87.365102,88.944058
F,88.944058,90.557845
D,90.557845,92.160022
G,92.160022,93.762199
F#,93.762199,95.375986
B:min,95.375986,98.56873
C,98.56873,100.159297
D,100.159297,101.703424
G,101.703424,103.37526
F#,103.37526,104.942607
C,104.942607,106.568004
D,106.568004,108.158571
G,108.158571,109.656258
F#,109.656258,111.339705
F,111.339705,112.930272
D,112.930272,114.567278
G,114.567278,116.192675
A:min,116.192675,117.771632
B:min,117.771632,119.385419
C,119.385419,121.010816
G,121.010816,122.601383
A:min,122.601383,124.19195
B:min,124.19195,125.736077
C,125.736077,127.361473
A,127.361473,128.87077
Ab,128.87077,130.484557
G,130.484557,132.040294
F#,132.040294,133.700521
B:min,133.700521,136.881655
C,136.881655,138.460612
D,138.460612,140.062789
G,140.062789,141.641746
F#,141.641746,143.278752
C,143.278752,144.846099
D,144.846099,146.494716
G,146.494716,148.096893
F#,148.096893,149.71068
F,149.71068,151.394126
D,151.394126,153.007913
G,153.007913,154.64492
F#,154.64492,156.281927
B:min,156.281927,159.567551
C,159.567551,161.146507
D,161.146507,162.783514
G,162.783514,164.397301
F#,164.397301,166.022698
C,166.022698,167.601655
D,167.601655,169.250272
G,169.250272,170.875668
F#,170.875668,172.477845
F,172.477845,174.103242
D,174.103242,175.705419
G,175.705419,177.295986
F#,177.295986,178.909773
B:min,178.909773,181.986417
C,181.986417,183.681473
D,183.681473,185.20238
G,185.20238,186.781337
F#,186.781337,188.337074
C,188.337074,189.892811
D,189.892811,191.460158
G,191.460158,193.097165
N,193.097165,195.343673
N,0.0,0.165431
"E:(1,5)",0.165431,0.588571
"E:(1,b7)/b7",0.588571,6.521269
"C#:(1,b3)",6.521269,9.435374
C,9.435374,12.244988
G,12.244988,15.089433
E,15.089433,18.003537
E,18.003537,32.295419
G,32.295419,35.197913
A,35.197913,37.995918
E,37.995918,40.910022
A,40.910022,43.754467
E,43.754467,46.610521
A,46.610521,49.466575
E,49.466575,52.29941
E,52.29941,69.517006
G,69.517006,72.361451
A,72.361451,75.217505
E,75.217505,78.05034
A,78.05034,80.906394
E,80.906394,83.832108
A,83.832108,86.664943
E,86.664943,89.474557
E,89.474557,95.221496
A,95.221496,97.938231
E,97.938231,100.829115
A,100.829115,103.743219
E,103.743219,106.703764
E,106.703764,109.548208
"C#:(1,b3)/b3",109.548208,112.462312
C/3,112.462312,115.283537
G,115.283537,118.116371
E,118.116371,132.710113
G,132.710113,135.566167
A,135.566167,138.364172
E,138.364172,141.301496
A,141.301496,144.28526
E,144.28526,147.036825
A,147.036825,149.916099
E,149.916099,152.725714
E,152.725714,179.651257
N,179.651257,181.753347
E:9,181.753347,191.665578
E,191.665578,220.179682
N,220.179682,224.450347
E,224.450347,262.247019
N,262.247019,269.688163
N,0.0,0.413805
G:min,0.413805,1.946938
"G:(1,b3,4)/b3",1.946938,3.560725
G:min,3.560725,5.139682
F,5.139682,6.869569
C,6.869569,10.073922
Bb,10.073922,11.699319
A:min,11.699319,13.394376
G:min,13.394376,14.566984
C:9(*3),14.566984,15.124263
F,15.124263,16.749659
Bb,16.749659,18.409886
F,18.409886,20.058503
C,20.058503,21.811609
C/5,21.811609,23.506666
G:min,23.506666,25.255699
G:min/5,25.255699,26.989659
F,26.989659,28.603446
C,28.603446,30.194013
G:min,30.194013,31.919068
G:min/5,31.919068,33.723446
F,33.723446,35.395283
C,35.395283,38.84306
C:7,38.84306,42.02458
Bb,42.02458,43.731247
A:min,43.731247,45.345034
G:min(4),45.345034,47.07492
F,47.07492,48.851247
Bb,48.851247,50.592743
F,50.592743,52.34585
C,52.34585,54.084559
C/5,54.084559,55.852063
G:min,55.852063,57.653457
G:min/5,57.653457,59.369886
F,59.369886,61.053333
C,61.053333,62.771609
G:min,62.771609,64.393417
G:min/5,64.393417,66.103673
F,66.103673,67.86839
C,67.86839,74.660226
Bb,74.660226,76.332063
F,76.332063,78.05034
C,78.05034,79.838276
G:min,79.838276,84.865396
Bb,84.865396,86.572063
F,86.572063,88.29034
C,88.29034,90.066666
G:min,90.066666,91.843648
Bb,91.843648,93.526439
C,93.526439,100.271836
Bb,100.271836,101.932063
A:min,101.932063,103.67356
G:min,103.67356,105.473106
F,105.473106,107.319092
Bb,107.319092,109.048979
F,109.048979,110.860136
C,110.860136,114.436009
G:min,114.436009,116.321738
G:min/5,116.321738,118.058321
F,118.058321,119.764988
C,119.764988,121.367165
G:min,121.367165,123.099992
G:min/5,123.099992,124.838548
F,124.838548,126.533605
C,126.533605,128.379591
G:min,128.379591,130.146313
G:min/5,130.146313,131.827755
F,131.827755,133.592471
C,133.592471,135.403628
G:min,135.403628,137.192634
G:min/5,137.192634,139.002721
F,139.002721,140.628117
C,140.628117,142.381224
G:min,142.381224,144.162365
G:min/5,144.162365,145.945487
F,145.945487,147.675374
C,147.675374,158.190121
C:(1),158.190121,158.936878
"C:(1,5)",158.936878,159.702782
C:sus4,159.702782,181.779978
N,181.779978,184.346122
N,0.0,0.4021
A,0.4021,2.412599
N,2.412599,3.255094
A,3.255094,14.073494
E:7,14.073494,16.21746
A,16.21746,22.521678
D,22.521678,27.537188
A,27.537188,32.622358
A,32.622358,38.891746
D,38.891746,43.942086
E,43.942086,48.829886
B:min,48.829886,51.326031
E,51.326031,53.845396
B:min,53.845396,56.364761
G,56.364761,56.782721
A,56.782721,57.3088
F#,57.3088,60.021904
E,60.021904,62.506439
A,62.506439,64.990975
D,64.990975,67.35941
A,67.35941,69.832335
D,69.832335,72.34009
A,72.34009,74.743356
D,74.743356,77.181451
E,77.181451,82.150521
A,82.150521,88.210929
D/5,88.210929,93.09873
A,93.09873,97.90526
A,97.90526,104.012108
D/5,104.012108,108.888299
E,108.888299,113.718049
B:min,113.718049,116.109705
E,116.109705,118.52458
B:min,118.52458,121.043945
G,121.043945,121.473514
A,121.473514,122.077233
F#,122.077233,124.724308
E,124.724308,126.999863
A,126.999863,129.368299
D,129.368299,131.759954
A,131.759954,134.05873
D,134.05873,136.461995
A,136.461995,138.84204
D,138.84204,141.233696
E,141.233696,145.982176
A,145.982176,151.984535
D/5,151.984535,156.767845
A,156.767845,161.597596
A,161.597596,167.553514
D/5,167.553514,172.278775
E,172.278775,173.515653
E:sus2(b7),173.515653,174.70526
E:maj6,174.70526,175.854648
E:7,175.854648,177.015646
B:min,177.015646,179.395691
E,179.395691,181.822176
B:min,181.822176,184.225442
G,184.225442,184.643401
A,184.643401,185.2239
F#,185.2239,187.847755
E,187.847755,190.15814
A,190.15814,192.561405
D,192.561405,194.906621
A,194.906621,197.251836
D,197.251836,199.620272
A,199.620272,201.988707
D,201.988707,204.333922
E,204.333922,209.837052
A,209.837052,212.193877
D/5,212.193877,214.527482
A,214.527482,216.895918
D/5,216.895918,219.275963
A,219.275963,221.609569
D/5,221.609569,223.896734
A,223.896734,226.21873
D/5,226.21873,228.691655
A,228.691655,230.96721
D/5,230.96721,233.335646
A,233.335646,235.692471
D/5,235.692471,238.026077
A,238.026077,240.290022
D/5,240.290022,242.612018
A,242.612018,244.945623
D/5,244.945623,247.290839
A,247.290839,249.624444
D/5,249.624444,252.016099
A,252.016099,254.338095
N,254.338095,255.738776
N,0.0,0.382952
E:min,0.382952,1.461099
A,1.461099,2.436337
A:min/4,2.436337,5.074117
C:min,5.074117,7.173208
G,7.173208,11.25992
E:min,11.25992,12.177881
A,12.177881,13.013027
A:min/4,13.013027,17.366883
C:min,17.366883,19.444954
G,19.444954,23.685595
A:9,23.685595,28.965136
D,28.965136,39.181916
G,39.181916,42.572029
Eb,42.572029,44.301916
E,44.301916,45.962142
A,45.962142,47.680419
D,47.680419,49.363866
G,49.363866,51.024092
Eb,51.024092,51.848401
D,51.848401,52.707539
G,52.707539,56.097653
Eb,56.097653,57.757879
E,57.757879,59.452936
A,59.452936,61.159603
D,61.159603,62.831439
G,62.831439,64.526496
F#/5,64.526496,65.339195
F/5,65.339195,66.209943
E:min/5,66.209943,67.905
A:7/3,67.905,69.611666
G/3,69.611666,71.678242
G,71.678242,72.107811
F#:dim/b3,72.107811,72.53738
B:dim,72.53738,72.95534
C,72.95534,74.638786
E/5,74.638786,76.299013
A:min,76.299013,78.06373
D,78.06373,78.307539
D/2,78.307539,78.748718
D/3,78.748718,79.677517
G,79.677517,83.0328
Eb,83.0328,84.669807
E,84.669807,86.341643
A,86.341643,87.99026
D,87.99026,89.720147
G,89.720147,91.357154
Eb,91.357154,92.193072
D,92.193072,93.02899
G,93.02899,96.314614
Eb,96.314614,97.974841
E,97.974841,99.600238
A,99.600238,101.202414
D,101.202414,102.862641
G,102.862641,104.534478
Eb,104.534478,105.382006
D,105.382006,106.241145
G,106.241145,109.561598
Eb,109.561598,111.163775
E,111.163775,112.742732
A,112.742732,114.414569
D,114.414569,116.016746
G,116.016746,117.688582
F#/5,117.688582,118.512891
F/5,118.512891,119.348809
E:min/5,119.348809,121.067086
A:7/3,121.067086,122.680873
G/3,122.680873,124.828718
G,124.828718,125.246678
F#:dim/b3,125.246678,125.618197
B:dim,125.618197,126.082596
C,126.082596,127.777653
E/5,127.777653,129.403049
A:min,129.403049,131.109716
D,131.109716,131.376746
D/2,131.376746,131.783095
D/3,131.783095,132.735113
G,132.735113,135.985907
Eb,135.985907,137.657743
E,137.657743,139.30636
A,139.30636,140.989807
D,140.989807,142.684863
G,142.684863,144.34509
Eb,144.34509,145.157789
D,145.157789,146.040147
G,146.040147,149.32577
Eb,149.32577,150.927947
E,150.927947,152.518514
A,152.518514,154.167131
D,154.167131,155.838968
G,155.838968,157.487585
Eb,157.487585,158.160963
D,158.160963,159.089761
G,159.089761,160.131472
N,160.131472,161.358367
N,0.0,1.416923
