Id,Onset,Offset
N,0.0,2.612267
E,2.612267,11.45907
A,11.45907,12.921927
E,12.921927,17.443474
B,17.443474,20.410362
E,20.410362,21.908049
E:7/3,21.908049,23.370907
A,23.370907,24.856984
A:min/b3,24.856984,26.343061
E,26.343061,27.840748
B,27.840748,29.350045
E,29.350045,35.305963
A,35.305963,36.80365
E,36.80365,41.263102
B,41.263102,44.245646
E,44.245646,45.720113
E:7/3,45.720113,47.20619
A,47.20619,48.692267
A:min/b3,48.692267,50.155124
E,50.155124,51.652811
B,51.652811,53.138888
E,53.138888,56.111043
A,56.111043,65.131995
B,65.131995,68.150589
A,68.150589,71.192403
E,71.192403,74.199387
A,74.199387,75.697074
E,75.697074,80.236575
B,80.236575,83.20873
E,83.20873,86.221693
A,86.221693,87.736621
A:min/b3,87.736621,89.257528
E,89.257528,90.720385
B,90.720385,92.157453
E,92.157453,104.106689
B,104.106689,107.125283
E,107.125283,110.178707
A,110.178707,113.124087
E,113.124087,114.613718
B,114.613718,116.099795
E,116.099795,118.944961
A,118.944961,128.046462
B,128.046462,131.053446
A,131.053446,134.03721
E,134.03721,137.044195
A,137.044195,138.475524
E,138.475524,143.058163
B,143.058163,146.041927
E,146.041927,147.551224
E:7/3,147.551224,149.060521
A,149.060521,150.511768
A:min/b3,150.511768,152.021065
E,152.021065,153.530362
B,153.530362,155.062879
E,155.062879,159.532721
B,159.532721,161.065238
E,161.065238,165.581519
B,165.581519,167.114036
A,167.114036,168.646553
E,168.646553,169.737409
E:9,169.737409,171.687173
N,171.687173,175.804082
N,0.0,0.414179
F,0.414179,4.365655
G,4.365655,6.690592
C,6.690592,8.780606
A:min,8.780606,9.717289
G,9.717289,10.634761
C,10.634761,12.376258
F,12.376258,14.199024
C,14.199024,15.986961
F,15.986961,19.597664
G,19.597664,21.33916
C,21.33916,23.115487
A:min,23.115487,24.938253
C,24.938253,26.72619
F,26.72619,28.525736
C,28.525736,30.267233
F,30.267233,33.912766
G,33.912766,35.68953
C,35.68953,39.251474
A:min,39.251474,42.852448
C,42.852448,46.428321
A:min,46.428321,50.062244
G,50.062244,53.684557
C,53.684557,55.484104
F,55.484104,57.23721
C,57.23721,59.059977
F,59.059977,62.61263
G,62.61263,64.412176
C,64.412176,68.027392
A:min,68.027392,71.598752
C,71.598752,75.232675
A:min,75.232675,78.889818
G,78.889818,82.535351
C,82.535351,84.314205
F,84.314205,86.122834
C,86.122834,87.887551
F,87.887551,91.520928
G,91.520928,93.356062
C,93.356062,95.155396
A:min,95.155396,97.012993
C,97.012993,98.812539
A:min,98.812539,100.635306
C,100.635306,102.469682
A:min,102.469682,104.269229
C,104.269229,106.161655
N,106.161655,110.18449
N,0.0,0.708462
D,0.708462,2.96788
B:min,2.96788,5.189003
D,5.189003,7.429273
B:min,7.429273,9.669544
D,9.669544,11.852371
B:min,11.852371,14.035199
D,14.035199,16.275469
B:min,16.275469,18.534888
D,18.534888,20.641125
B:min,20.641125,22.862248
D,22.862248,23.6473
B:min,23.6473,25.00678
E:min,25.00678,25.88757
A,25.88757,27.266198
D,27.266198,29.410731
B:min,29.410731,31.612706
D,31.612706,33.833829
B:min,33.833829,36.035804
D,36.035804,38.276075
B:min,38.276075,40.420607
D,40.420607,42.64173
B:min,42.64173,44.882001
D,44.882001,47.026533
B:min,47.026533,49.05618
D,49.05618,49.93697
B:min,49.93697,51.315598
E:min,51.315598,52.196388
A,52.196388,53.594164
D,53.594164,56.75352
D/2,56.75352,57.251357
D/3,57.251357,57.7109
G,57.7109,66.480506
D,66.480506,73.909779
D/2,73.909779,74.388469
D/3,74.388469,74.94375
G,74.94375,83.502732
E:7,83.502732,87.753502
A,87.753502,91.965977
D,91.965977,94.167952
B:min,94.167952,96.255042
D,96.255042,98.51446
B:min,98.51446,100.563254
D,100.563254,101.55893
B:min,101.55893,102.995001
E:min,102.995001,103.7992
A,103.7992,105.196976
D,105.196976,108.356332
D/2,108.356332,108.988203
D/3,108.988203,109.562631
G,109.562631,118.255647
D,118.255647,125.780658
D/2,125.780658,126.335939
D/3,126.335939,126.872072
G,126.872072,131.161137
G:min,131.161137,135.54594
E:7,135.54594,139.796709
A,139.796709,144.20066
D,144.20066,146.211159
B:min,146.211159,148.45143
D,148.45143,150.61511
B:min,150.61511,152.836233
D,152.836233,153.65958
B:min,153.65958,155.038208
E:min,155.038208,155.861555
A,155.861555,157.240183
D,157.240183,159.480454
B:min,159.480454,161.624986
D,161.624986,163.941847
B:min,163.941847,165.990642
D,165.990642,168.173469
B:min,168.173469,170.528625
D,170.528625,174.530476
N,174.530476,177.580408
N,0.0,0.459543
Bb,0.459543,7.639897
Bb,7.639897,14.977403
Eb:7,14.977403,18.646156
Bb,18.646156,22.338129
F:9,22.338129,24.184115
Eb:9,24.184115,26.041712
Bb,26.041712,27.910918
F,27.910918,29.780124
Bb,29.780124,37.10602
Eb:7,37.10602,40.797993
Bb,40.797993,44.466746
F:9,44.466746,46.324342
Eb:9,46.324342,48.170328
Bb,48.170328,49.981485
Bb:7,49.981485,51.839081
Eb,51.839081,55.589104
Bb,55.589104,59.292687
Eb,59.292687,63.042709
F,63.042709,66.734682
Bb,66.734682,74.118628
Eb:7,74.118628,77.85704
Bb,77.85704,81.525793
F:9,81.525793,83.395
Eb:9,83.395,85.252596
Bb,85.252596,87.110192
Bb:7,87.110192,88.944569
Eb,88.944569,92.659761
Bb,92.659761,96.363344
Eb,96.363344,100.113367
F,100.113367,103.79373
Bb,103.79373,111.224115
Eb:7,111.224115,114.927698
Bb,114.927698,118.642891
F:9,118.642891,120.512097
Eb:9,120.512097,122.369693
Bb,122.369693,124.536063
F,124.536063,126.050056
Bb,126.050056,137.230929
Eb,137.230929,139.011657
Eb:min,139.011657,139.773049
N,139.773049,146.494694
N,0.0,1.073119
B,1.073119,2.512756
A,2.512756,4.103323
E,4.103323,5.68228
B,5.68228,7.284457
E,7.284457,13.890534
A,13.890534,17.106498
E,17.106498,20.438561
B,20.438561,22.098788
A,22.098788,23.759015
E,23.759015,25.505471
B,25.505471,27.067858
E,27.067858,33.685546
A,33.685546,36.947949
E,36.947949,40.256793
B,40.256793,41.905409
A,41.905409,43.600466
E,43.600466,45.303248
B,45.303248,46.88609
E,46.88609,53.654707
A,53.654707,57.00999
E,57.00999,60.376883
B,60.376883,62.01389
A,62.01389,63.720557
E,63.720557,65.562273
B,65.562273,67.05262
E,67.05262,73.600648
A,73.600648,76.909491
E,76.909491,80.264775
B,80.264775,82.006271
A,82.006271,83.666498
E,83.666498,85.454434
B,85.454434,87.056611
E,87.056611,93.929718
A,93.929718,97.308221
E,97.308221,100.709945
B,100.709945,102.439831
A,102.439831,104.146498
E,104.146498,105.899604
B,105.899604,107.583051
E,107.583051,114.398108
A,114.398108,117.823051
E,117.823051,121.201555
B,121.201555,122.908221
A,122.908221,124.614888
E,124.614888,126.681448
B,126.681448,128.086271
E,128.086271,134.924548
A,134.924548,138.337881
E,138.337881,141.716385
B,141.716385,143.493051
N,143.493051,147.513469
N,0.0,0.47869
E,0.47869,3.025323
E:maj7,3.025323,3.513909
F#:min7,3.513909,3.966698
G#:min7,3.966698,5.708194
F#:min7,5.708194,7.020122
B:7,7.020122,7.484521
E,7.484521,10.061936
E:maj7,10.061936,10.148439
F#:min7,10.503115,11.002344
G#:min7,11.002344,12.743841
F#:min7,12.743841,14.032548
B:7,14.032548,14.508557
E,14.508557,16.215224
G#,16.215224,17.97994
C#:min,17.97994,21.462934
A,21.462934,23.23926
F#:9,23.23926,25.050417
B,25.050417,25.979215
E:maj7,25.979215,26.443614
F#:min7,26.443614,26.931233
G#:min7,26.931233,28.707559
F#:min7,28.707559,29.999371
B:7,29.999371,30.483886
E,30.483886,33.101875
E:maj7,33.101875,33.56053
F#:min7,33.56053,34.024929
G#:min7,34.024929,35.789646
F#:min7,35.789646,37.531142
E,37.531142,39.307469
G#,39.307469,41.083795
C#:min,41.083795,44.636448
A,44.636448,46.416525
E,46.416525,48.200711
E:aug,48.200711,50.046698
A,50.046698,51.776584
B,51.776584,53.564521
E,53.564521,55.352457
E:aug,55.352457,57.152004
A,57.152004,58.91672
B,58.91672,60.693047
E,60.693047,62.859161
B,62.859161,63.328512
E:maj7,63.328512,63.769691
F#:min7,63.769691,64.22248
G#:min7,64.22248,65.917537
A,65.917537,67.705473
G#:min7,67.705473,69.4818
A:maj7,69.4818,71.304566
E,71.304566,74.020532
E:maj7,74.020532,74.46248
F#:min7,74.46248,74.973319
G#:min7,74.973319,76.749646
F#:min7,76.749646,78.096403
B:7,78.096403,78.572412
E,78.572412,81.265927
E:maj7,81.265927,81.718716
F#:min7,81.718716,82.217945
G#:min7,82.217945,83.971051
F#:min7,83.971051,85.341029
B:7,85.341029,85.782208
E,85.782208,87.581754
G#,87.581754,89.334861
C#:min,89.334861,91.157627
C#:min,91.157627,92.910734
A:min,92.910734,94.72189
F#:9,94.72189,96.498217
B,96.498217,97.445396
E:maj7,97.445396,97.949464
F#:min7,97.949464,98.425473
G#:min7,98.425473,100.2018
A,100.2018,101.966516
G#:min7,101.966516,103.800893
A,103.800893,105.565609
E,105.565609,107.353546
E:aug,107.353546,109.141482
A,109.141482,110.917809
B,110.917809,112.694135
E,112.694135,114.482072
E:aug,114.482072,116.246788
A,116.246788,118.023115
B,118.023115,119.768308
E,119.768308,121.940529
B,121.940529,122.423296
E:maj7,122.423296,122.864476
F#:min7,122.864476,123.294045
G#:min7,123.294045,125.047151
A,125.047151,126.823478
G#:min7,126.823478,128.611414
A:maj7,128.611414,130.394376
E,130.394376,132.210507
A:maj7/5,132.210507,133.998444
E,133.998444,135.77477
A:maj7/5,135.77477,137.585927
B:maj6,137.585927,139.243203
G#:min,139.243203,143.982963
N,143.982963,147.774694
N,0.0,0.444363
B,0.444363,0.866546
E,0.866546,7.646772
E,7.646772,11.013666
A,11.013666,11.872804
E,11.872804,12.917702
G,12.917702,13.393711
A,13.393711,13.8465
B,13.8465,14.450219
E,14.450219,17.886772
A,17.886772,18.745911
E,18.745911,21.381376
